序号,梯度值,行索引,列索引,原始值,坐标
1,12.447008,606,606,15.428281,(606,606)
2,12.432207,458,458,15.428283,(458,458)
3,12.420088,460,459,14.715856,(460,459)
4,12.420088,459,460,14.715856,(459,460)
5,12.403165,461,460,-2.027215,(461,460)
6,12.403165,460,461,-2.027215,(460,461)
7,12.393200,673,656,15.202902,(673,656)
8,12.393200,656,673,15.202902,(656,673)
9,12.389610,458,673,15.219194,(458,673)
10,12.389610,673,458,15.219194,(673,458)
11,12.388597,673,671,15.233172,(673,671)
12,12.388597,671,673,15.233172,(671,673)
13,12.382089,656,458,15.345170,(656,458)
14,12.382089,458,656,15.345170,(458,656)
15,12.379435,458,464,15.264419,(458,464)
